SORT,File,Accession Number,Title,Contact Information,Creator,Contributors,Subject,Credit,Description,Notes,Publisher,Date,Type,Format,Extent,Medium,Identifier,Source,Source URL,Language,Relation,Coverage-Spatial,Coverage-Temporal,Rights
414,1984.189.414.jp2,1984.189.414,Two young women posing in a wooded landscape,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218781,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
415,1984.189.415.jp2,1984.189.415,Portrait of a photographer,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of a photographer  who is sitting on what appears to be an equipment case and holding a Graflex camera.,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218787,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
416,1984.189.416.jp2,1984.189.416,Flowers of the Wildwood,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View showing two young women in a wooded landscape,,,Between 1930 and 1950,Image,glass plate negatives group portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218793,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
417,1984.189.417.jp2,1984.189.417,"Brick church, undergoing repairs",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Architectural view; Photography,The Historic New Orleans Collection,Unidentified church,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218794,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
418,1984.189.418.jp2,1984.189.418,Boat ride in the bayou,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of two young women in a pirogue and a tree lined bayou.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218795,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
419,1984.189.419.jp2,1984.189.419,"Fisherman drying his nets, probably at Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218796,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
420,1984.189.420.jp2,1984.189.420,Two young women sitting on a wood rail fence,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218797,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
421,1984.189.421.jp2,1984.189.421,Group of four female tennis players,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218798,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
422,1984.189.422.jp2,1984.189.422,Group of four female tennis players,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218799,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
423,1984.189.423.jp2,1984.189.423,"Two young women walking, one holding a pitch fork, the other a bucket",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218800,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
424,1984.189.424.jp2,1984.189.424,"Spirit of the old farm, two young women (twins?) with a basket by a spilt rail fence",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218801,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
425,1984.189.425.jp2,1984.189.425,Two girls under moss laden trees,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218802,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
426,1984.189.426.jp2,1984.189.426,Three women in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218803,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
427,1984.189.427.jp2,1984.189.427,Dreams of Old Madrid,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of two girls dancing, and their reflection on water.",,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218804,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
428,1984.189.428.jp2,1984.189.428,Little Lass from Mossland,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Bust length portrait of a young woman.,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218805,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
429,1984.189.429.jp2,1984.189.429,Little Lass from Mossland,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Bust length portrait of a young woman.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218806,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
430,1984.189.430.jp2,1984.189.430,Three Newcomb girls on steps,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218807,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
431,1984.189.431.jp2,1984.189.431,Three Newcomb girls on steps,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives group portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218808,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
432,1984.189.432.jp2,1984.189.432,Newcomb girls carrying books and the stairs of a building,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218809,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
433,1984.189.433.jp2,1984.189.433,Iron gates in front of Newcomb Hall at 1229 Broadway,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of three girls wearing fancy dresses outside the gates at Newcomb College in Uptown New Orleans.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218811,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
434,1984.189.434.jp2,1984.189.434,Iron gates in front of Newcomb Hall at 1229 Broadway,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of three girls wearing fancy dresses outside the gates at Newcomb College in Uptown New Orleans.,,,Between 1930 and 1950,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218815,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
435,1984.189.435.jp2,1984.189.435,Young woman sitting on a swing in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218816,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
436,1984.189.436.jp2,1984.189.436,Young woman wearing a big hat,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218817,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
437,1984.189.437.jp2,1984.189.437,Young woman wearing a basket on her head,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218818,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
438,1984.189.438.jp2,1984.189.438,Young woman on a swing in the woods,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218819,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
439,1984.189.439.jp2,1984.189.439,Young woman posing by a tree trunk,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218820,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
440,1984.189.440.jp2,1984.189.440,Young woman fishing,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218821,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
441,1984.189.441.jp2,1984.189.441,Young woman holding a book,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218822,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
442,1984.189.442.jp2,1984.189.442,Young woman posing among leafy vines,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218823,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
443,1984.189.443.jp2,1984.189.443,Young woman against a tree,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218824,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
444,1984.189.444.jp2,1984.189.444,Spanish Symphony,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of a young woman wearing a large hat.,,,Between 1930 and 1950,Image,glass plate negatives portraits,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218825,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
445,1984.189.445.jp2,1984.189.445,Young woman with bucket and pitch fork lying on Spanish Moss,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218826,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
446,1984.189.446.jp2,1984.189.446,Young woman with a bushel basket and a pitch fork,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218827,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
447,1984.189.447.jp2,1984.189.447,Young woman posing among Spanish moss,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218828,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
448,1984.189.448.jp2,1984.189.448,Entangled in  a Net of Dreams,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Young woman posing with a fishing net.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218829,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
449,1984.189.449.jp2,1984.189.449,Through Nature's Window,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Portrait of a young woman posing among Spanish moss.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218830,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
450,1984.189.450.jp2,1984.189.450,Young woman among branches,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218831,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
451,1984.189.451.jp2,1984.189.451,Bayou girl,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"Portrait of a young woman, seated and leaning against a tree.",,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218832,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
452,1984.189.452.jp2,1984.189.452,Young woman leaning against a tree with a bayou in the background,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218833,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
453,1984.189.453.jp2,1984.189.453,Young woman wearing a large hat,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218834,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
454,1984.189.454.jp2,1984.189.454,young woman,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218835,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
455,1984.189.455.jp2,1984.189.455,Something Fishy,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Portrait of a young woman holding a fishing pole and a creel over her shoulder.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218836,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
456,1984.189.456.jp2,1984.189.456,Basket full of Loveliness,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Portrait of a young woman holding a basket and gathering leaves or flowers.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218837,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
457,1984.189.457.jp2,1984.189.457,Young woman framed by palmetto leaves,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218838,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
458,1984.189.458.jp2,1984.189.458,Woodland Maid,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,Portrait of a young woman by a leafy vine.,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218839,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
459,1984.189.459.jp2,1984.189.459,Young woman holding flowers,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218840,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
460,1984.189.460.jp2,1984.189.460,Young woman posing,louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,,,,Between 1930 and 1950,Image,glass plate negatives portraits,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218841,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
461,1984.189.461.jp2,1984.189.461,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of three young women on the beach at Grand Isle.  They are identified as Rita Mae Gegenhelmer, June Vallee, and Dorothy Tibo, all from Jefferson Parish.",,,1941,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218842,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
462,1984.189.462.jp2,1984.189.462,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of three girls wearing bathing suits and on the beach at Grand Isle.   They are identified as Rita Mae Gegenhelmer, June Vallee, and Dorothy Tibo, all from Jefferson Parish.",,,1941,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218843,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
463,1984.189.463.jp2,1984.189.463,"1941 Jefferson Parish Yearyl Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of a young woman identified as Rita Mae Gegenhelmer,  wearing a bathing suit and holding a speckled trout, on the beach at Grand Isle.  Two fishermen are visible in the background.",,,1941,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218844,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
464,1984.189.464.jp2,1984.189.464,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"Shown from the back, are two women wearing bathing suits.  One is standing and the other is sitting in a beach chair and fishing.",,,1941,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218845,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
465,1984.189.465.jp2,1984.189.465,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,View of trees and other plants on Grand Isle.,,,1941,Image,glass plate negatives,"7"" x 5""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218846,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
466,1984.189.466.jp2,1984.189.466,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of a raised,  rustic residence and an old oak tree.",,,1941,Image,glass plate negatives,"5"" x 7""",Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218847,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
467,1984.189.467.jp2,1984.189.467,"1941 Jefferson Parish Yearly Review, Grand Isle",louisquery@hnoc.org,"Delcroix, Eugene A., 1892-1967",,Photography,The Historic New Orleans Collection,"View of a small boat that has been pulled out of the water, with what appears to be marsh in the background.",,,1941,Image,glass plate negatives,,Glass plate negative ,See reference url on menu at top of page,The Historic New Orleans Collection (http://www.hnoc.org),http://hnoc.minisisinc.com/thnoc/catalog/1/218848,en,,,,Physical rights are retained by The Historic New Orleans Collection. Copyright is retained in accordance with U. S. copyright laws.
